Entity,Code,Year,Coal reserves - Mt
Africa,,2020,14837000000
Asia,,2020,341962000000
Asia Pacific (EI),,2020,459750000000
Australia,AUS,2020,150227000000
Brazil,BRA,2020,6596000000
Bulgaria,BGR,2020,2366000000
CIS (EI),,2020,190655000000
Canada,CAN,2020,6582000000
China,CHN,2020,143197000000
Colombia,COL,2020,4554000000
Czechia,CZE,2020,3595000000
Europe,,2020,287881000000
Europe (EI),,2020,137240000000
European Union (27),,2020,78590000000
Germany,DEU,2020,35900000000
Greece,GRC,2020,2876000000
High-income countries,,2020,489180000000
Hungary,HUN,2020,2909000000
India,IND,2020,111052000000
Indonesia,IDN,2020,34869000000
Japan,JPN,2020,350000000
Kazakhstan,KAZ,2020,25605000000
Lower-middle-income countries,,2020,156248000000
Mexico,MEX,2020,1211000000
Middle East (EI),,2020,1203000000
Middle East and Africa (EI),,2020,16040000000
Mongolia,MNG,2020,2520000000
New Zealand,NZL,2020,7575000000
Non-OECD (EI),,2020,565675000000
North America,,2020,256734000000
North America (EI),,2020,256734000000
OECD (EI),,2020,508433000000
Oceania,,2020,157802000000
Pakistan,PAK,2020,3064000000
Poland,POL,2020,28395000000
Romania,ROU,2020,291000000
Russia,RUS,2020,162166000000
Serbia,SRB,2020,7514000000
South Africa,ZAF,2020,9893000000
South America,,2020,11881000000
South Korea,KOR,2020,326000000
South and Central America (EI),,2020,13689000000
Spain,ESP,2020,1187000000
Thailand,THA,2020,1063000000
Turkey,TUR,2020,11525000000
Ukraine,UKR,2020,34375000000
United Kingdom,GBR,2020,26000000
United States,USA,2020,248941000000
Upper-middle-income countries,,2020,411290000000
Uzbekistan,UZB,2020,1375000000
Venezuela,VEN,2020,731000000
Vietnam,VNM,2020,3360000000
World,OWID_WRL,2020,1074108000000
Zimbabwe,ZWE,2020,502000000