Entity,Code,Year,"Gas (TWh, direct energy)","Oil (TWh, direct energy)","Coal (TWh, direct energy)"
World,OWID_WRL,1800,0,0,97
World,OWID_WRL,1810,0,0,128
World,OWID_WRL,1820,0,0,153
World,OWID_WRL,1830,0,0,264
World,OWID_WRL,1840,0,0,356
World,OWID_WRL,1850,0,0,569
World,OWID_WRL,1860,0,0,1061
World,OWID_WRL,1870,0,6,1642
World,OWID_WRL,1880,0,33,2542
World,OWID_WRL,1890,33,89,3856
World,OWID_WRL,1900,64,181,5728
World,OWID_WRL,1910,142,397,8656
World,OWID_WRL,1920,233,889,9833
World,OWID_WRL,1930,603,1756,10125
World,OWID_WRL,1940,875,2653,11586
World,OWID_WRL,1950,2092,5444,12603
World,OWID_WRL,1960,4472,11097,15442
World,OWID_WRL,1965,6303.8203,18012.52,16177.694
World,OWID_WRL,1966,6868.814,19427.398,16359.431
World,OWID_WRL,1967,7374.058,20779.828,16095.517
World,OWID_WRL,1968,8044.3477,22511.285,16333.143
World,OWID_WRL,1969,8833.434,24446.174,16847
World,OWID_WRL,1970,9614.809,26672.713,17087.004
World,OWID_WRL,1971,10293.19,28117.908,16986.387
World,OWID_WRL,1972,10861.713,30331.375,17168.227
World,OWID_WRL,1973,11377.832,32722.135,17683.568
World,OWID_WRL,1974,11659.859,32224.648,17696.432
World,OWID_WRL,1975,11659.736,31992.346,18045.436
World,OWID_WRL,1976,12354.139,34059.953,18699.785
World,OWID_WRL,1977,12759.838,35189.734,19267.412
World,OWID_WRL,1978,13293.947,36703.98,19467.49
World,OWID_WRL,1979,14118.029,37182.266,20370.578
World,OWID_WRL,1980,14236.961,35561.332,20877.783
World,OWID_WRL,1981,14395.873,34295.703,21158.002
World,OWID_WRL,1982,14469.731,33270.605,21395.426
World,OWID_WRL,1983,14703.826,33099.758,22050.97
World,OWID_WRL,1984,15902.676,33624.367,23008.44
World,OWID_WRL,1985,16262.217,33686.312,23996.738
World,OWID_WRL,1986,16421.107,34717.92,24263.818
World,OWID_WRL,1987,17281.893,35513.047,25228.486
World,OWID_WRL,1988,18088.842,36628.914,25983.078
World,OWID_WRL,1989,18888.648,37209.367,26231.049
World,OWID_WRL,1990,19481.15,37608,25916.205
World,OWID_WRL,1991,19972.836,37688.625,25667.406
World,OWID_WRL,1992,20063.482,38192.87,25567.281
World,OWID_WRL,1993,20265.48,38024.57,25689.945
World,OWID_WRL,1994,20389.613,38852.32,25791.27
World,OWID_WRL,1995,21104.492,39431.895,25975.748
World,OWID_WRL,1996,22159.254,40326.613,26592.398
World,OWID_WRL,1997,22030.39,41422.08,26547.277
World,OWID_WRL,1998,22433.998,41583.832,26380.13
World,OWID_WRL,1999,23071.902,42266.777,26492.459
World,OWID_WRL,2000,23994.256,42983.43,27441.488
World,OWID_WRL,2001,24316.832,43366.16,27864.717
World,OWID_WRL,2002,25028.285,43650.734,28967.592
World,OWID_WRL,2003,25727.73,44580.05,31511.33
World,OWID_WRL,2004,26734.273,46367.14,33689.836
World,OWID_WRL,2005,27438.982,46965.55,36190.766
World,OWID_WRL,2006,28161.389,47468.766,38073.164
World,OWID_WRL,2007,29315.703,48022.76,40233.902
World,OWID_WRL,2008,30026.688,47628.992,40786.047
World,OWID_WRL,2009,29405.7,46566.066,40189.99
World,OWID_WRL,2010,31593.82,48058.23,41988.312
World,OWID_WRL,2011,32349.117,48400.316,43940.797
World,OWID_WRL,2012,33203.137,49164.34,44060.996
World,OWID_WRL,2013,33720.777,49654.363,44709.242
World,OWID_WRL,2014,33961.7,50011.83,44893.17
World,OWID_WRL,2015,34752.11,50977.21,43680.504
World,OWID_WRL,2016,35229.348,52060.85,42736.863
World,OWID_WRL,2017,36517.57,52978.8,43193.28
World,OWID_WRL,2018,38321.438,53521.387,43852.793
World,OWID_WRL,2019,39084.453,53618.926,43597.164
World,OWID_WRL,2020,38714.09,48745.684,42296.684
World,OWID_WRL,2021,40239.016,51530.492,44600.08
World,OWID_WRL,2022,40086.875,53226.84,44869.12
World,OWID_WRL,2023,40101.74,54564,45564.93